condition,n,useful_work,stale_evidence,end_to_end_wall_mean_seconds,model_tokens_observed,price_conversion_applied
cold,12,6,0,0.012326067416666668,False,False
warm,12,6,0,0.006634614166666667,False,False
stale_root,12,0,12,0.0032235133333333335,False,False
stale_clock,12,0,12,0.0032215920833333334,False,False
