population,cases,prediction,failed,unsupported,unavailable,schema_valid,span_linked,machine_contract_satisfied
legal,12,12,0,0,0,12,12,12
cve,24,20,4,0,0,20,24,24
skill,24,18,0,6,0,18,24,24
